description,polarity,subjectivity,polarity2,subjectivity2
"[('wednesday', 'released', 'video'), ('released', 'video', 'former'), ('video', 'former', 'sgt'), ('former', 'sgt', 'frank'), ('sgt', 'frank', 'car'), ('frank', 'car', 'tow'), ('car', 'tow', 'complained'), ('tow', 'complained', 'according'), ('complained', 'according', 'memo')]",-0.15,0.10000000000000002,negative,objective
"[('boot', 'south', 'end'), ('south', 'end', 'jetty'), ('end', 'jetty', 'island'), ('jetty', 'island', 'according'), ('island', 'according', 'everett'), ('according', 'everett', 'saw'), ('everett', 'saw', 'appears'), ('saw', 'appears', 'human'), ('appears', 'human', 'foot'), ('human', 'foot', 'inside'), ('foot', 'inside', 'boot')]",0.0,0.10000000000000002,neutral,objective
"[('fire', 'blocked', 'lane'), ('blocked', 'lane', 'northbound'), ('lane', 'northbound', '5'), ('northbound', '5', 'near'), ('5', 'near', 'south'), ('near', 'south', 'spokane'), ('south', 'spokane', 'street'), ('spokane', 'street', 'starting'), ('street', 'starting', 'around'), ('starting', 'around', '2'), ('around', '2', '45'), ('2', '45', 'p'), ('45', 'p', 'backup'), ('p', 'backup', 'extending'), ('backup', 'extending', 'four'), ('extending', 'four', 'mile'), ('four', 'mile', 'peak')]",0.05000000000000001,0.25000000000000006,negative,objective
"[('male', 'suspect', 'gun'), ('suspect', 'gun', 'seen'), ('gun', 'seen', 'front'), ('seen', 'front', 'bartell'), ('front', 'bartell', 'arriving'), ('bartell', 'arriving', 'found'), ('arriving', 'found', 'victim'), ('found', 'victim', 'shot'), ('victim', 'shot', 'fire'), ('shot', 'fire', 'called'), ('fire', 'called', 'south'), ('called', 'south', 'end')]",-0.05625000000000001,0.0625,negative,objective
"[('cab', 'spotted', 'near'), ('spotted', 'near', '5'), ('near', '5', 'chase'), ('5', 'chase', 'ensued'), ('chase', 'ensued', 'assisting'), ('ensued', 'assisting', 'keefe'), ('assisting', 'keefe', 'one'), ('keefe', 'one', 'point'), ('one', 'point', 'suspect'), ('point', 'suspect', 'drove'), ('suspect', 'drove', 'wrong')]",-0.04999999999999999,0.525,negative,subjective
"[('kevin', 'grossman', 'commander'), ('grossman', 'commander', 'south'), ('commander', 'south', 'precinct'), ('south', 'precinct', 'business'), ('precinct', 'business', 'owner'), ('business', 'owner', 'universally'), ('owner', 'universally', 'blame'), ('universally', 'blame', 'rv'), ('blame', 'rv', 'dweller'), ('rv', 'dweller', 'surge'), ('dweller', 'surge', 'nocturnal'), ('surge', 'nocturnal', 'crime')]",0.0,0.0,neutral,objective
"[('new', 'video', 'updating'), ('video', 'updating', 'case'), ('updating', 'case', 'direct'), ('case', 'direct', 'message'), ('direct', 'message', 'killer'), ('message', 'killer', 'case'), ('killer', 'case', 'never'), ('case', 'never', 'go'), ('never', 'go', 'away'), ('go', 'away', 'dna')]",0.1090909090909091,0.4136363636363636,positive,objective
"[('involved', 'several', 'subject'), ('several', 'subject', 'altercation'), ('subject', 'altercation', 'inside'), ('altercation', 'inside', 'vehicle'), ('inside', 'vehicle', 'renton'), ('vehicle', 'renton', 'twitter')]",-0.1,0.2,negative,objective
"[('arrested', 'man', 'suspected'), ('man', 'suspected', 'drive'), ('suspected', 'drive', 'high'), ('drive', 'high', 'point'), ('high', 'point', 'neighborhood'), ('point', 'neighborhood', 'wednesday')]",0.16,0.5399999999999999,positive,subjective
"[('investigation', 'started', 'march'), ('started', 'march', '2018'), ('march', '2018', 'received'), ('2018', 'received', 'report'), ('received', 'report', 'dealer'), ('report', 'dealer', 'club'), ('dealer', 'club', 'statement')]",0.0,0.0,neutral,objective
"[('jim', 'pugel', 'disgrace'), ('pugel', 'disgrace', 'brave'), ('disgrace', 'brave', 'men'), ('brave', 'men', 'woman'), ('men', 'woman', 'proudly'), ('woman', 'proudly', 'professionally'), ('proudly', 'professionally', 'serve'), ('professionally', 'serve', 'city'), ('serve', 'city', 'one'), ('city', 'one', 'told')]",0.5666666666666668,0.6999999999999998,positive,subjective
"[('puyallup', 'asking', 'public'), ('asking', 'public', 'help'), ('public', 'help', 'identifying'), ('help', 'identifying', 'car'), ('identifying', 'car', 'prowling'), ('car', 'prowling', 'suspect'), ('prowling', 'suspect', 'individual'), ('suspect', 'individual', 'caught')]",0.0,0.2,neutral,objective
"[('second', 'two', 'woman'), ('two', 'woman', 'march'), ('woman', 'march', 'underway'), ('march', 'underway', 'downtown'), ('underway', 'downtown', 'blocked'), ('downtown', 'blocked', 'north'), ('blocked', 'north', 'south'), ('north', 'south', 'lane'), ('south', 'lane', 'broadway'), ('lane', 'broadway', 'e'), ('broadway', 'e', 'pine'), ('e', 'pine', 'st')]",0.0,0.0,neutral,objective
"[('puyallup', 'asking', 'public'), ('asking', 'public', 'help'), ('public', 'help', 'identifying'), ('help', 'identifying', 'armed'), ('identifying', 'armed', 'robbery'), ('armed', 'robbery', 'suspect'), ('robbery', 'suspect', 'individual'), ('suspect', 'individual', 'committed')]",0.0,0.2,neutral,objective
"[('day', 'city', 'council'), ('city', 'council', 'voted'), ('council', 'voted', 'last'), ('voted', 'last', 'november'), ('last', 'november', 'approve'), ('november', 'approve', 'arbitrator'), ('approve', 'arbitrator', 'representative'), ('arbitrator', 'representative', 'union'), ('representative', 'union', 'finalized')]",0.0,0.06666666666666667,neutral,objective
"[('lot', 'bark', 'tacoma'), ('bark', 'tacoma', 'k'), ('tacoma', 'k', '9'), ('k', '9', 'unit'), ('9', 'unit', 'two'), ('unit', 'two', 'new'), ('two', 'new', 'search'), ('new', 'search', 'dog'), ('search', 'dog', 'expected'), ('dog', 'expected', 'join'), ('expected', 'join', 'team'), ('join', 'team', 'year'), ('team', 'year', 'tacoma'), ('year', 'tacoma', 'kennel'), ('tacoma', 'kennel', 'club')]",0.018181818181818177,0.42727272727272725,negative,objective
"[('use', '4th', 'avenue'), ('4th', 'avenue', 'south'), ('avenue', 'south', 'currently'), ('south', 'currently', 'closed'), ('currently', 'closed', 'walker'), ('closed', 'walker', 'added'), ('walker', 'added', 'saturday'), ('added', 'saturday', 'evening'), ('saturday', 'evening', 'according'), ('evening', 'according', 'older'), ('according', 'older', 'man'), ('older', 'man', 'shot'), ('man', 'shot', 'younger'), ('shot', 'younger', 'man')]",0.022222222222222213,0.18888888888888886,negative,objective
"[('tunnel', 'partner', 'claim'), ('partner', 'claim', 'bertha'), ('claim', 'bertha', 'required'), ('bertha', 'required', '642'), ('required', '642', 'million'), ('642', 'million', 'repair'), ('million', 'repair', 'struck'), ('repair', 'struck', 'steel'), ('struck', 'steel', 'pipe'), ('steel', 'pipe', 'december'), ('pipe', 'december', '2013'), ('december', '2013', 'state'), ('2013', 'state', 'adequately'), ('state', 'adequately', 'disclose')]",0.3333333333333333,0.3333333333333333,positive,objective
"[('2019', 'race', 'district'), ('race', 'district', '3'), ('district', '3', 'seat'), ('3', 'seat', 'city'), ('seat', 'city', 'council'), ('city', 'council', 'added'), ('council', 'added', 'another'), ('added', 'another', 'contender'), ('another', 'contender', 'incumbent'), ('contender', 'incumbent', 'kshama'), ('incumbent', 'kshama', 'sawant')]",0.0,0.0,neutral,objective
