title,media,date,desc,link,Local,newtrititle,newtridesc
"['affidavit', 'texas', 'boy', 'long', 'reported', 'missing']",The Seattle Times,2021-06-01 00:00:00,"['houston', 'charged', 'theresa', 'raye', 'balboa', '29', 'tampering', 'evidence', 'human', 'corpse', 'death', 'samuel', 'olson', 'balboa', 'girlfriend']",https://www.seattletimes.com/nation-world/nation/affidavit-texas-boy-was-killed-long-before-reported-missing/,0,"[('affidavit', 'texas', 'boy'), ('texas', 'boy', 'long'), ('boy', 'long', 'reported'), ('long', 'reported', 'missing')]","[('houston', 'charged', 'theresa'), ('charged', 'theresa', 'raye'), ('theresa', 'raye', 'balboa'), ('raye', 'balboa', '29'), ('balboa', '29', 'tampering'), ('29', 'tampering', 'evidence'), ('tampering', 'evidence', 'human'), ('evidence', 'human', 'corpse'), ('human', 'corpse', 'death'), ('corpse', 'death', 'samuel'), ('death', 'samuel', 'olson'), ('samuel', 'olson', 'balboa'), ('olson', 'balboa', 'girlfriend')]"
"['georgia', 'man', 'offered', '350k', 'settlement', 'takedown']",KIRO-TV,2021-06-01 00:00:00,"['antonio', 'arnelo', 'smith', '47', 'sued', 'valdosta', 'city', 'official', 'u', 'district', 'court', 'last', 'year', 'alleging', 'excessive', 'use', 'valdosta']",https://www.kiro7.com/news/trending/georgia-man-offered-350k-settlement-offered-police-takedown/PYA7ICWPZZDCBLYGQXDK3L6H34/,0,"[('georgia', 'man', 'offered'), ('man', 'offered', '350k'), ('offered', '350k', 'settlement'), ('350k', 'settlement', 'takedown')]","[('antonio', 'arnelo', 'smith'), ('arnelo', 'smith', '47'), ('smith', '47', 'sued'), ('47', 'sued', 'valdosta'), ('sued', 'valdosta', 'city'), ('valdosta', 'city', 'official'), ('city', 'official', 'u'), ('official', 'u', 'district'), ('u', 'district', 'court'), ('district', 'court', 'last'), ('court', 'last', 'year'), ('last', 'year', 'alleging'), ('year', 'alleging', 'excessive'), ('alleging', 'excessive', 'use'), ('excessive', 'use', 'valdosta')]"
"['suspect', 'georgia']",The Seattle Times,2021-06-01 00:00:00,"['cobb', 'county', 'responding', 'domestic', 'dispute', 'acworth', 'sunday', 'around', '3', '30', 'p', 'man', 'pulled', 'gun']",https://www.seattletimes.com/nation-world/nation/suspect-in-georgia-officer-shooting-killed-by-police/,0,[],"[('cobb', 'county', 'responding'), ('county', 'responding', 'domestic'), ('responding', 'domestic', 'dispute'), ('domestic', 'dispute', 'acworth'), ('dispute', 'acworth', 'sunday'), ('acworth', 'sunday', 'around'), ('sunday', 'around', '3'), ('around', '3', '30'), ('3', '30', 'p'), ('30', 'p', 'man'), ('p', 'man', 'pulled'), ('man', 'pulled', 'gun')]"
"['charge', 'cop', 'violated', 'voting', 'law', 'city']",PubliCola,2021-06-01 00:00:00,"['eight', 'registered', 'vote', 'using', 'address', 'precinct', 'instead', 'home', 'address', 'including']",https://publicola.com/2021/06/14/morning-fizz-voting-police-shower-trailers/,0,"[('charge', 'cop', 'violated'), ('cop', 'violated', 'voting'), ('violated', 'voting', 'law'), ('voting', 'law', 'city')]","[('eight', 'registered', 'vote'), ('registered', 'vote', 'using'), ('vote', 'using', 'address'), ('using', 'address', 'precinct'), ('address', 'precinct', 'instead'), ('precinct', 'instead', 'home'), ('instead', 'home', 'address'), ('home', 'address', 'including')]"
"['rantz', 'city', 'dept', 'defends', 'vicious', 'staff', 'email', 'labeling', 'cop', 'white', 'supremacist']",MyNorthwest.com,2021-06-01 00:00:00,"['holmberg', 'pivot', 'noting', 'six', 'attended', 'president', 'donald', 'trump', 'rally', 'none']",https://mynorthwest.com/2952103/rantz-seattle-city-dept-defends-vicious-all-staff-email-labeling-cops-white-supremacists/,0,"[('rantz', 'city', 'dept'), ('city', 'dept', 'defends'), ('dept', 'defends', 'vicious'), ('defends', 'vicious', 'staff'), ('vicious', 'staff', 'email'), ('staff', 'email', 'labeling'), ('email', 'labeling', 'cop'), ('labeling', 'cop', 'white'), ('cop', 'white', 'supremacist')]","[('holmberg', 'pivot', 'noting'), ('pivot', 'noting', 'six'), ('noting', 'six', 'attended'), ('six', 'attended', 'president'), ('attended', 'president', 'donald'), ('president', 'donald', 'trump'), ('donald', 'trump', 'rally'), ('trump', 'rally', 'none')]"
"['arrest', 'suspect', '6', 'week', 'assault', 'elderly']",Northwest Asian Weekly,2021-06-01 00:00:00,"['gordon', 'shoji', 'older', 'man', 'attacked', 'apartment', 'frustrated', 'seemed', 'take', 'six', 'week']",https://nwasianweekly.com/2021/07/spd-arrests-suspect-6-weeks-after-assault-on-elderly-japanese-american/,0,"[('arrest', 'suspect', '6'), ('suspect', '6', 'week'), ('6', 'week', 'assault'), ('week', 'assault', 'elderly')]","[('gordon', 'shoji', 'older'), ('shoji', 'older', 'man'), ('older', 'man', 'attacked'), ('man', 'attacked', 'apartment'), ('attacked', 'apartment', 'frustrated'), ('apartment', 'frustrated', 'seemed'), ('frustrated', 'seemed', 'take'), ('seemed', 'take', 'six'), ('take', 'six', 'week')]"
"['supreme', 'court', 'upholds', 'tribal', 'traffic', 'stop', 'search']",The Seattle Times,2021-06-01 00:00:00,"['case', 'involved', 'traffic', 'stop', '2016', 'james', 'saylor', 'crow', 'tribe', 'came', 'upon', 'pickup', 'truck', 'headlight']",https://www.seattletimes.com/nation-world/nation-politics/supreme-court-upholds-tribal-police-in-traffic-stop-search/,0,"[('supreme', 'court', 'upholds'), ('court', 'upholds', 'tribal'), ('upholds', 'tribal', 'traffic'), ('tribal', 'traffic', 'stop'), ('traffic', 'stop', 'search')]","[('case', 'involved', 'traffic'), ('involved', 'traffic', 'stop'), ('traffic', 'stop', '2016'), ('stop', '2016', 'james'), ('2016', 'james', 'saylor'), ('james', 'saylor', 'crow'), ('saylor', 'crow', 'tribe'), ('crow', 'tribe', 'came'), ('tribe', 'came', 'upon'), ('came', 'upon', 'pickup'), ('upon', 'pickup', 'truck'), ('pickup', 'truck', 'headlight')]"
"['public', 'memorial', 'service', 'held', 'lexi', 'harris', 'struck', 'driver', '5']",The Seattle Times,2021-06-01 00:00:00,"['duty', 'alexandra', 'b', 'lexi', 'harris', 'struck', 'motorist']",https://www.seattletimes.com/seattle-news/public-memorial-service-to-be-held-for-seattle-police-officer-lexi-harris-who-was-fatally-struck-by-a-driver-on-i-5/,0,"[('public', 'memorial', 'service'), ('memorial', 'service', 'held'), ('service', 'held', 'lexi'), ('held', 'lexi', 'harris'), ('lexi', 'harris', 'struck'), ('harris', 'struck', 'driver'), ('struck', 'driver', '5')]","[('duty', 'alexandra', 'b'), ('alexandra', 'b', 'lexi'), ('b', 'lexi', 'harris'), ('lexi', 'harris', 'struck'), ('harris', 'struck', 'motorist')]"
"['2', 'dead', 'white', 'center', 'father', 'man', 'near', 'chop', 'among', 'injured']",The Seattle Times,2021-06-01 00:00:00,"['city', 'cleared', 'chop', 'space', 'protester', 'took', 'several', 'block', 'around', 'east', 'precinct', 'capitol', 'hill']",https://www.seattletimes.com/seattle-news/crime/2-killed-2-injured-in-white-center-shooting/,0,"[('2', 'dead', 'white'), ('dead', 'white', 'center'), ('white', 'center', 'father'), ('center', 'father', 'man'), ('father', 'man', 'near'), ('man', 'near', 'chop'), ('near', 'chop', 'among'), ('chop', 'among', 'injured')]","[('city', 'cleared', 'chop'), ('cleared', 'chop', 'space'), ('chop', 'space', 'protester'), ('space', 'protester', 'took'), ('protester', 'took', 'several'), ('took', 'several', 'block'), ('several', 'block', 'around'), ('block', 'around', 'east'), ('around', 'east', 'precinct'), ('east', 'precinct', 'capitol'), ('precinct', 'capitol', 'hill')]"
"['2', 'men', 'arrested', 'throwing', 'rock', 'onto', 'freeway']",MyNorthwest.com,2021-06-01 00:00:00,"['assistance', 'individual', 'taken', 'custody', 'also', 'booked', 'king', 'county', 'jail', 'felony', 'trooper']",https://mynorthwest.com/2986806/arrested-throwing-rocks-i-90-seattle/?,0,"[('2', 'men', 'arrested'), ('men', 'arrested', 'throwing'), ('arrested', 'throwing', 'rock'), ('throwing', 'rock', 'onto'), ('rock', 'onto', 'freeway')]","[('assistance', 'individual', 'taken'), ('individual', 'taken', 'custody'), ('taken', 'custody', 'also'), ('custody', 'also', 'booked'), ('also', 'booked', 'king'), ('booked', 'king', 'county'), ('king', 'county', 'jail'), ('county', 'jail', 'felony'), ('jail', 'felony', 'trooper')]"
"['cop', 'violate', 'rule', 'shot', 'suspect', 'threw', 'burning', 'wood', 'squad', 'car', 'review', 'find']",KING 5,2021-06-01 00:00:00,"['entire', 'incident', 'caught', 'body', 'worn', 'dashcam', 'surveillance', 'video', 'released', 'opa', 'reviewed', 'course']",https://www.king5.com/article/news/local/seattle/seattle-police-officer-did-not-violate-rules-when-firing-gun-at-suspect-in-october-2020/281-86d1d509-6aac-4b32-b9cb-39008e5cb4d3,0,"[('cop', 'violate', 'rule'), ('violate', 'rule', 'shot'), ('rule', 'shot', 'suspect'), ('shot', 'suspect', 'threw'), ('suspect', 'threw', 'burning'), ('threw', 'burning', 'wood'), ('burning', 'wood', 'squad'), ('wood', 'squad', 'car'), ('squad', 'car', 'review'), ('car', 'review', 'find')]","[('entire', 'incident', 'caught'), ('incident', 'caught', 'body'), ('caught', 'body', 'worn'), ('body', 'worn', 'dashcam'), ('worn', 'dashcam', 'surveillance'), ('dashcam', 'surveillance', 'video'), ('surveillance', 'video', 'released'), ('video', 'released', 'opa'), ('released', 'opa', 'reviewed'), ('opa', 'reviewed', 'course')]"
"['washington', 'voter', 'led', 'much', 'nation', 'saying', 'gun', 'must', 'sometimes', 'seized', 'prevent', 'violence', 'law', 'working']",The Seattle Times,2021-06-01 00:00:00,"['eric', 'pisconski', 'acting', 'lieutenant', 'crisis', 'response', 'unit', 'think', 'state', 'law', 'allows', 'law']",https://www.seattletimes.com/seattle-news/washington-was-at-the-forefront-of-a-gun-violence-prevention-law-heres-how-its-played-out/,0,"[('washington', 'voter', 'led'), ('voter', 'led', 'much'), ('led', 'much', 'nation'), ('much', 'nation', 'saying'), ('nation', 'saying', 'gun'), ('saying', 'gun', 'must'), ('gun', 'must', 'sometimes'), ('must', 'sometimes', 'seized'), ('sometimes', 'seized', 'prevent'), ('seized', 'prevent', 'violence'), ('prevent', 'violence', 'law'), ('violence', 'law', 'working')]","[('eric', 'pisconski', 'acting'), ('pisconski', 'acting', 'lieutenant'), ('acting', 'lieutenant', 'crisis'), ('lieutenant', 'crisis', 'response'), ('crisis', 'response', 'unit'), ('response', 'unit', 'think'), ('unit', 'think', 'state'), ('think', 'state', 'law'), ('state', 'law', 'allows'), ('law', 'allows', 'law')]"
"['rio', 'de', 'janeiro', 'evict', 'tent', 'city', 'pandemic', 'refugee']",The Seattle Times,2021-06-01 00:00:00,"['rio', 'official', 'twitter', 'account', 'eviction', 'part', 'legal', 'process', 'recover', 'plot', 'land']",https://www.seattletimes.com/business/rio-de-janeiro-police-evict-tent-city-of-pandemic-refugees/,0,"[('rio', 'de', 'janeiro'), ('de', 'janeiro', 'evict'), ('janeiro', 'evict', 'tent'), ('evict', 'tent', 'city'), ('tent', 'city', 'pandemic'), ('city', 'pandemic', 'refugee')]","[('rio', 'official', 'twitter'), ('official', 'twitter', 'account'), ('twitter', 'account', 'eviction'), ('account', 'eviction', 'part'), ('eviction', 'part', 'legal'), ('part', 'legal', 'process'), ('legal', 'process', 'recover'), ('process', 'recover', 'plot'), ('recover', 'plot', 'land')]"
"['1', 'pickup', 'truck', 'pride', 'parade', 'south', 'florida']",KIRO-TV,2021-06-01 00:00:00,"['update', '10', '38', 'p', 'edt', 'june', '19', 'spokesperson', 'fort', 'lauderdale', 'confirmed', 'one', 'adult', 'male', 'died', 'result', 'injury']",https://www.kiro7.com/news/trending/2-people-injured-by-truck-during-pride-parade-south-florida/IK3Z7WTLIREVTDLUKKF62A23PQ/,0,"[('1', 'pickup', 'truck'), ('pickup', 'truck', 'pride'), ('truck', 'pride', 'parade'), ('pride', 'parade', 'south'), ('parade', 'south', 'florida')]","[('update', '10', '38'), ('10', '38', 'p'), ('38', 'p', 'edt'), ('p', 'edt', 'june'), ('edt', 'june', '19'), ('june', '19', 'spokesperson'), ('19', 'spokesperson', 'fort'), ('spokesperson', 'fort', 'lauderdale'), ('fort', 'lauderdale', 'confirmed'), ('lauderdale', 'confirmed', 'one'), ('confirmed', 'one', 'adult'), ('one', 'adult', 'male'), ('adult', 'male', 'died'), ('male', 'died', 'result'), ('died', 'result', 'injury')]"
"['county', 'ahmaud', 'arbery', 'slain', 'hire', 'black', 'chief']",The Seattle Times,2021-06-01 00:00:00,"['battiste', 'hiring', 'come', 'turbulent', 'year', 'glynn', 'county', 'agency', 'widely', 'criticized', 'making', 'arrest', 'arbery']",https://www.seattletimes.com/nation-world/nation/county-where-ahmaud-arbery-slain-hires-black-police-chief/,0,"[('county', 'ahmaud', 'arbery'), ('ahmaud', 'arbery', 'slain'), ('arbery', 'slain', 'hire'), ('slain', 'hire', 'black'), ('hire', 'black', 'chief')]","[('battiste', 'hiring', 'come'), ('hiring', 'come', 'turbulent'), ('come', 'turbulent', 'year'), ('turbulent', 'year', 'glynn'), ('year', 'glynn', 'county'), ('glynn', 'county', 'agency'), ('county', 'agency', 'widely'), ('agency', 'widely', 'criticized'), ('widely', 'criticized', 'making'), ('criticized', 'making', 'arrest'), ('making', 'arrest', 'arbery')]"
"['tout', 'safe', 'space', 'hate', 'crime', 'program', 'advocate']",PubliCola,2021-06-01 00:00:00,"['calling', 'card', 'safe', 'place', 'program', 'six', 'year', 'old', 'project', 'theoretically', 'recruit', 'business', 'owner']",https://publicola.com/2021/06/16/spd-touts-safe-space-hate-crimes-program-but-advocates-say-theres-no-evidence-that-it-works/,0,"[('tout', 'safe', 'space'), ('safe', 'space', 'hate'), ('space', 'hate', 'crime'), ('hate', 'crime', 'program'), ('crime', 'program', 'advocate')]","[('calling', 'card', 'safe'), ('card', 'safe', 'place'), ('safe', 'place', 'program'), ('place', 'program', 'six'), ('program', 'six', 'year'), ('six', 'year', 'old'), ('year', 'old', 'project'), ('old', 'project', 'theoretically'), ('project', 'theoretically', 'recruit'), ('theoretically', 'recruit', 'business'), ('recruit', 'business', 'owner')]"
"['council', 'weigh', 'tiered', 'approach', 'limiting', 'use', 'crowd', 'control', 'weapon']",KIRO-TV,2021-06-01 00:00:00,"['city', 'councilmember', 'lisa', 'herbold', 'introducing', 'updated', 'version', 'bill', 'week', 'designed', 'impose', 'limit']",https://www.kiro7.com/news/local/seattle-council-weigh-tiered-approach-limiting-spds-use-crowd-control-weapons/RUBQNIVXORFADHE6BYOCYZF224/,0,"[('council', 'weigh', 'tiered'), ('weigh', 'tiered', 'approach'), ('tiered', 'approach', 'limiting'), ('approach', 'limiting', 'use'), ('limiting', 'use', 'crowd'), ('use', 'crowd', 'control'), ('crowd', 'control', 'weapon')]","[('city', 'councilmember', 'lisa'), ('councilmember', 'lisa', 'herbold'), ('lisa', 'herbold', 'introducing'), ('herbold', 'introducing', 'updated'), ('introducing', 'updated', 'version'), ('updated', 'version', 'bill'), ('version', 'bill', 'week'), ('bill', 'week', 'designed'), ('week', 'designed', 'impose'), ('designed', 'impose', 'limit')]"
